Age;Sexe;Nationalité(s);Quartier
27;F;L;BONNEVOIE-SUD
27;F;L;CENTS
30;M;F;BELAIR
37;M;MEX;GARE
23;M;E;KIRCHBERG
59;M;F;BONNEVOIE-NORD/VERLORENKOST
3;F;L, RUS;HOLLERICH
32;F;IND;MERL
52;F;L;BONNEVOIE-SUD
16;F;F;KIRCHBERG
23;M;I;BONNEVOIE-NORD/VERLORENKOST
30;M;F;GARE
30;M;L, P;BEGGEN
27;M;I;GARE
30;F;B;EICH
15;F;F;CENTS
30;M;D;BONNEVOIE-SUD
25;F;L, F;BONNEVOIE-SUD
44;M;GB;CESSANGE
48;F;B, R;ROLLINGERGRUND/BELAIR-NORD
64;M;I;LIMPERTSBERG
12;M;L;LIMPERTSBERG
13;M;F;CESSANGE
63;F;L;MERL
32;M;L;LIMPERTSBERG
72;M;L;BONNEVOIE-SUD
30;M;L;CESSANGE
12;F;E, S;LIMPERTSBERG
63;F;H;CESSANGE
36;M;I;BELAIR
25;M;L, P;GASPERICH
59;M;RUS;BEGGEN
7;F;H;MUEHLENBACH
73;M;P;BONNEVOIE-SUD
28;M;I;GARE
14;M;I;GASPERICH
53;M;TC;GRUND
34;F;B;BONNEVOIE-SUD
16;M;L;GASPERICH
12;F;S;CESSANGE
40;F;ERY;LIMPERTSBERG
65;F;L;GARE
34;M;P;HOLLERICH
7;F;F;LIMPERTSBERG
7;M;F, USA;GASPERICH
27;F;R;GARE
25;M;L;MERL
58;F;L, BD;NEUDORF/WEIMERSHOF
80;F;I;GASPERICH
79;M;NL;HOLLERICH
43;M;D;KIRCHBERG
15;F;L;BELAIR
15;M;L;CENTS
8;F;E;KIRCHBERG
16;M;L;GASPERICH
8;M;D;HOLLERICH
43;M;L;GASPERICH
9;F;L, NL;HAMM
37;F;P;BONNEVOIE-SUD
29;M;IRL;GASPERICH
37;F;H;NEUDORF/WEIMERSHOF
27;F;L, P;GARE
42;M;P;KIRCHBERG
47;F;F;BELAIR
37;F;F;HOLLERICH
36;F;P;BEGGEN
36;F;RM;LIMPERTSBERG
19;M;SK;KIRCHBERG
49;F;L, USA;BELAIR
8;M;L;HOLLERICH
8;M;L;GASPERICH
36;M;P;ROLLINGERGRUND/BELAIR-NORD
26;M;L;GASPERICH
37;F;P;LIMPERTSBERG
36;M;F;GARE
14;F;F, USA;LIMPERTSBERG
13;M;L;MERL
36;F;D;LIMPERTSBERG
25;F;L;BONNEVOIE-SUD
35;M;D;ROLLINGERGRUND/BELAIR-NORD
25;M;L;HOLLERICH
58;M;P;MERL
40;F;F;BELAIR
35;M;P;NEUDORF/WEIMERSHOF
68;M;L;CENTS
73;F;BG;KIRCHBERG
72;M;F;VILLE-HAUTE
29;M;F;LIMPERTSBERG
35;M;I;BONNEVOIE-SUD
30;M;B;BONNEVOIE-SUD
49;F;GB;BELAIR
28;M;D;NEUDORF/WEIMERSHOF
60;M;L;ROLLINGERGRUND/BELAIR-NORD
33;M;F;HOLLERICH
33;F;S;BELAIR
33;F;F;BONNEVOIE-SUD
34;M;F;GARE
16;F;PL;KIRCHBERG
3;M;BG;LIMPERTSBERG
32;F;F;LIMPERTSBERG
25;M;L;BELAIR
31;F;F;MERL
31;M;F;ROLLINGERGRUND/BELAIR-NORD
20;M;R;MERL
10;F;L;CENTS
28;M;F;LIMPERTSBERG
23;M;L, P;HOLLERICH
19;M;I;WEIMERSKIRCH
28;F;FIN;GARE
54;F;E;LIMPERTSBERG
55;F;L;GASPERICH
72;M;FIN;KIRCHBERG
23;M;B;CENTS
20;M;SK;GASPERICH
20;F;B, I;LIMPERTSBERG
57;M;L;HOLLERICH
19;M;L, CV;DOMMELDANGE
31;M;L;MUEHLENBACH
22;M;L;ROLLINGERGRUND/BELAIR-NORD
23;F;L, S;LIMPERTSBERG
27;F;I;BONNEVOIE-SUD
18;M;L;MERL
17;F;L, I;NEUDORF/WEIMERSHOF
18;M;L;BONNEVOIE-SUD
6;M;F;BELAIR
32;F;L, P;ROLLINGERGRUND/BELAIR-NORD
18;M;D;HOLLERICH
34;F;F;LIMPERTSBERG
17;M;D;NEUDORF/WEIMERSHOF
21;F;B;BEGGEN
63;M;L;KIRCHBERG
45;F;B;HOLLERICH
8;M;I;BEGGEN
49;M;DK;GARE
30;M;F;VILLE-HAUTE
56;M;E, GB;KIRCHBERG
63;F;L, I;LIMPERTSBERG
9;F;F, LTU;NEUDORF/WEIMERSHOF
56;M;L;BELAIR
49;M;LVA;KIRCHBERG
63;F;R;GARE
59;M;I;CENTS
58;F;I;GASPERICH
41;F;L, B;MERL
67;F;F;CESSANGE
28;M;L;BONNEVOIE-SUD
9;M;F;LIMPERTSBERG
22;M;E;KIRCHBERG
19;F;L, RUS;MERL
37;M;L;BELAIR
24;M;F;MERL
60;F;F;MERL
5;F;GR;LIMPERTSBERG
77;M;L;NEUDORF/WEIMERSHOF
18;F;L;NEUDORF/WEIMERSHOF
18;F;L;BONNEVOIE-NORD/VERLORENKOST
41;F;I;ROLLINGERGRUND/BELAIR-NORD
24;F;L;GASPERICH
44;M;USA;KIRCHBERG
6;F;R;LIMPERTSBERG
48;F;F;CESSANGE
53;M;DK;BONNEVOIE-SUD
43;F;L;BONNEVOIE-SUD
48;M;L;HOLLERICH
37;M;GB, IRL;NEUDORF/WEIMERSHOF
56;F;L;BELAIR
22;F;L, F, I;GASPERICH
47;F;F;GASPERICH
29;M;I;GASPERICH
72;M;B;KIRCHBERG
43;M;F;GRUND
37;F;GR;LIMPERTSBERG
43;M;D;GARE
44;M;F;NEUDORF/WEIMERSHOF
43;F;L, B;BELAIR
42;F;D;NEUDORF/WEIMERSHOF
39;M;L;CESSANGE
16;F;L, D, F;ROLLINGERGRUND/BELAIR-NORD
88;M;I;DOMMELDANGE
48;F;F;BONNEVOIE-SUD
45;M;L, F;BONNEVOIE-SUD
72;M;NL;KIRCHBERG
72;M;F;BELAIR
31;M;L;HOLLERICH
46;M;PL;BELAIR
52;F;I;BONNEVOIE-SUD
25;F;F;GARE
42;F;F;CESSANGE
28;M;E, NL;KIRCHBERG
32;F;B;LIMPERTSBERG
75;M;L;CESSANGE
60;M;L;GARE
21;M;L, I;NEUDORF/WEIMERSHOF
5;M;L, D, RUS;KIRCHBERG
32;M;B;MERL
75;M;L, GB;LIMPERTSBERG
75;M;P;CESSANGE
86;M;IRL;EICH
80;M;L;BONNEVOIE-NORD/VERLORENKOST
86;M;F;LIMPERTSBERG
69;M;B;LIMPERTSBERG
90;M;L;CESSANGE
74;F;L;CENTS
72;M;L;LIMPERTSBERG
78;F;L;GRUND
73;M;L;BELAIR
46;M;F;BONNEVOIE-SUD
79;F;L;BONNEVOIE-SUD
75;M;L;CESSANGE
65;M;F;GASPERICH
80;M;L;BELAIR
73;M;L, F;HOLLERICH
76;M;L;LIMPERTSBERG
31;F;L;BONNEVOIE-SUD
88;F;L;PFAFFENTHAL
41;F;BR;BEGGEN
81;M;L;BONNEVOIE-SUD
63;M;R;LIMPERTSBERG
74;M;L;MUEHLENBACH
57;F;PL;KIRCHBERG
