Age;Sexe;Nationalité(s);Quartier
54;F;F;LIMPERTSBERG
38;M;TJ;GASPERICH
4;F;F;VILLE-HAUTE
69;F;P;BONNEVOIE-SUD
36;M;H;BELAIR
44;F;F;MERL
15;F;L, I;CENTS
61;F;L;VILLE-HAUTE
18;F;L;ROLLINGERGRUND/BELAIR-NORD
23;M;F;ROLLINGERGRUND/BELAIR-NORD
46;F;L;GARE
27;M;L, P;BONNEVOIE-SUD
7;M;L;BONNEVOIE-SUD
67;F;L;MERL
10;F;P;MUEHLENBACH
29;M;D;ROLLINGERGRUND/BELAIR-NORD
18;F;F;BONNEVOIE-SUD
39;F;L;BONNEVOIE-SUD
54;F;F;ROLLINGERGRUND/BELAIR-NORD
45;M;P;CENTS
27;M;L;CESSANGE
36;F;IND;KIRCHBERG
32;M;I;CLAUSEN
32;F;PL;BELAIR
46;M;I;GARE
30;F;P;VILLE-HAUTE
30;M;IRL;LIMPERTSBERG
10;M;L;EICH
29;F;L;VILLE-HAUTE
67;M;L;KIRCHBERG
22;M;L, B;GRUND
27;F;BG;NEUDORF/WEIMERSHOF
47;M;L;WEIMERSKIRCH
5;F;B, CZ;LIMPERTSBERG
34;F;IND;MERL
26;F;E;DOMMELDANGE
26;F;NL;BEGGEN
42;M;F;BONNEVOIE-SUD
6;F;E;KIRCHBERG
29;M;D;CESSANGE
13;F;L;CESSANGE
69;M;P;BONNEVOIE-SUD
46;F;MEX;WEIMERSKIRCH
93;F;L;VILLE-HAUTE
66;M;L;LIMPERTSBERG
57;F;B;BONNEVOIE-SUD
48;M;F;KIRCHBERG
64;M;L;MERL
33;F;XXK;GASPERICH
63;M;L;MERL
34;F;F;MUEHLENBACH
37;F;P;GARE
37;M;L, B;HOLLERICH
33;M;F;BONNEVOIE-SUD
48;F;IRL;BELAIR
2;F;L;GARE
10;F;F;MUEHLENBACH
17;M;F;LIMPERTSBERG
35;M;IND;MERL
61;M;B;NEUDORF/WEIMERSHOF
12;M;F;BONNEVOIE-SUD
48;F;E;KIRCHBERG
57;F;E;GARE
20;M;L, P;BONNEVOIE-NORD/VERLORENKOST
49;M;B;GARE
82;M;D;BEGGEN
34;M;I;CESSANGE
56;F;L, F;GASPERICH
58;F;I;BEGGEN
32;F;SRB;MERL
56;F;B;GASPERICH
49;F;BR;BELAIR
43;F;BR;KIRCHBERG
26;F;AL;LIMPERTSBERG
27;F;F;BONNEVOIE-SUD
42;F;L, IND;CENTS
34;M;F;HOLLERICH
29;F;E;KIRCHBERG
10;F;L, F;BELAIR
47;F;L, UKR;MERL
25;M;F;GARE
36;M;I;BELAIR
52;M;BG;BELAIR
31;F;A;DOMMELDANGE
25;F;F;BONNEVOIE-SUD
30;F;L;CENTS
55;M;L;MUEHLENBACH
27;M;IRL;EICH
5;F;F;BELAIR
45;F;L, D;HAMM
19;M;L;BELAIR
64;F;P;KIRCHBERG
66;F;L;HOLLERICH
41;F;L;NEUDORF/WEIMERSHOF
50;M;I;NEUDORF/WEIMERSHOF
69;M;GB;CENTS
30;M;L, GR;NEUDORF/WEIMERSHOF
49;M;RUS;BELAIR
34;M;CZ;CENTS
2;F;L, MA, TN;CLAUSEN
34;M;UKR;KIRCHBERG
2;M;R, SVN;KIRCHBERG
11;M;L;EICH
35;M;I;HOLLERICH
31;F;GR;CLAUSEN
48;F;F;KIRCHBERG
54;M;B;LIMPERTSBERG
36;M;E;CLAUSEN
38;M;TR;LIMPERTSBERG
55;F;USA;BELAIR
57;F;L;CENTS
49;F;L;LIMPERTSBERG
93;M;L;VILLE-HAUTE
55;M;BIH;GASPERICH
34;M;PAK;MUEHLENBACH
18;F;I;GASPERICH
47;M;IS;GARE
29;F;I;HAMM
27;M;CH;CESSANGE
6;F;F, IL;MERL
37;M;L;CENTS
33;F;I;NEUDORF/WEIMERSHOF
43;M;I;NEUDORF/WEIMERSHOF
21;F;F, I;GASPERICH
15;F;L;BEGGEN
29;M;L;BELAIR
56;M;TJ;CENTS
31;F;H;WEIMERSKIRCH
12;F;E;GARE
28;M;L;HAMM
6;M;R;HOLLERICH
41;F;R;BONNEVOIE-SUD
42;M;F;GASPERICH
43;M;P;LIMPERTSBERG
25;F;IRL;GARE
53;F;HRV;VILLE-HAUTE
16;M;L, F, PE;BONNEVOIE-SUD
71;M;L;BONNEVOIE-NORD/VERLORENKOST
16;M;I;LIMPERTSBERG
52;F;L;BONNEVOIE-SUD
2;F;I;BEGGEN
30;M;TR;ROLLINGERGRUND/BELAIR-NORD
42;M;I;BONNEVOIE-SUD
30;M;L;MERL
38;F;USA;BELAIR
9;M;F;BELAIR
57;F;L;MERL
21;F;L, B;KIRCHBERG
29;F;ERY;LIMPERTSBERG
29;M;E;MERL
32;F;B;GASPERICH
37;F;L;BONNEVOIE-SUD
35;M;F;LIMPERTSBERG
22;M;L;GRUND
74;M;L, I;VILLE-HAUTE
39;F;F;GASPERICH
2;F;L, BIH;GASPERICH
32;F;E;BELAIR
16;M;P;BELAIR
6;M;L;CENTS
30;F;IRQ;MUEHLENBACH
44;M;H;ROLLINGERGRUND/BELAIR-NORD
38;M;E;NEUDORF/WEIMERSHOF
90;F;L;GARE
54;M;L, BIH;GARE
65;F;F;GARE
15;F;P;BONNEVOIE-SUD
20;F;P;HOLLERICH
12;F;L;KIRCHBERG
31;M;RL;GASPERICH
60;F;L, F;BELAIR
55;M;I;GASPERICH
42;F;L, F;NEUDORF/WEIMERSHOF
43;F;I;CENTS
43;F;F;BELAIR
22;F;L;BONNEVOIE-SUD
30;M;E;GARE
59;M;L;CLAUSEN
39;M;L;ROLLINGERGRUND/BELAIR-NORD
60;F;L;BONNEVOIE-NORD/VERLORENKOST
21;M;L, P;MERL
50;M;I;GARE
0;M;FIN;LIMPERTSBERG
48;M;D;BELAIR
38;F;TN;KIRCHBERG
22;F;L, P;ROLLINGERGRUND/BELAIR-NORD
7;M;L;CENTS
36;F;P;MUEHLENBACH
62;F;SK;ROLLINGERGRUND/BELAIR-NORD
32;F;L;BONNEVOIE-SUD
1;F;MS;GARE
33;M;M;DOMMELDANGE
39;M;P;BONNEVOIE-SUD
74;M;L;MUEHLENBACH
66;M;GB;KIRCHBERG
3;F;L;BELAIR
31;M;P;BONNEVOIE-NORD/VERLORENKOST
21;F;P;GARE
10;M;GB;CENTS
48;M;P;BONNEVOIE-SUD
24;F;P;GARE
24;M;I;GASPERICH
36;F;SRB;BELAIR
28;F;PL;GASPERICH
9;M;F;CENTS
43;M;F;LIMPERTSBERG
47;F;L;BONNEVOIE-SUD
2;M;J;MERL
24;M;L, B;GASPERICH
31;M;F;BONNEVOIE-NORD/VERLORENKOST
30;M;B;GARE
17;M;L, IS;HOLLERICH
3;M;D, USA;ROLLINGERGRUND/BELAIR-NORD
9;M;B;LIMPERTSBERG
42;M;D;CESSANGE
31;M;PL;CLAUSEN
38;M;P;HOLLERICH
7;F;BR;BONNEVOIE-SUD
31;M;GR;BELAIR
2;M;L, E;BELAIR
8;F;L;BONNEVOIE-SUD
35;M;F;CESSANGE
41;F;F, PL;BONNEVOIE-SUD
33;F;TR;EICH
1;M;F, I;GASPERICH
21;M;L;LIMPERTSBERG
54;F;GB;GRUND
91;F;L;BELAIR
38;M;PL;GASPERICH
51;M;B;GARE
40;M;B;CESSANGE
37;F;L, UKR;CENTS
28;M;P;GARE
40;F;UKR;BEGGEN
48;M;F;BONNEVOIE-NORD/VERLORENKOST
40;F;R;BONNEVOIE-SUD
59;M;L;GASPERICH
60;M;L, GR;KIRCHBERG
30;M;NL;MERL
55;M;L;GASPERICH
15;M;L, E;HOLLERICH
28;F;PL;BONNEVOIE-NORD/VERLORENKOST
75;F;BG;CENTS
60;M;L;GASPERICH
57;M;L, F;BONNEVOIE-SUD
90;F;L;CESSANGE
56;F;P;GASPERICH
37;M;P;HOLLERICH
9;F;F;BONNEVOIE-SUD
21;M;D;NEUDORF/WEIMERSHOF
1;M;H;CENTS
56;M;L;VILLE-HAUTE
57;M;AUS;LIMPERTSBERG
31;M;L, GB;HOLLERICH
49;F;SVN;ROLLINGERGRUND/BELAIR-NORD
41;M;E;LIMPERTSBERG
6;M;L, I;CENTS
32;M;BD;GARE
31;F;PL;GASPERICH
35;F;IND;KIRCHBERG
34;F;P;LIMPERTSBERG
26;M;F;NEUDORF/WEIMERSHOF
2;M;L, YV;GASPERICH
51;M;L;HOLLERICH
39;M;F;NEUDORF/WEIMERSHOF
6;F;L, IRQ;DOMMELDANGE
2;M;L, IRQ;DOMMELDANGE
31;M;KAZ;WEIMERSKIRCH
56;F;B;GASPERICH
13;F;F;GARE
8;F;E;WEIMERSKIRCH
32;M;H;BONNEVOIE-SUD
33;F;F;BELAIR
19;M;L, P;LIMPERTSBERG
34;F;IND;KIRCHBERG
82;F;L;GARE
65;M;P;GARE
26;F;F;GARE
33;M;F;EICH
52;M;F;NEUDORF/WEIMERSHOF
39;M;P;HOLLERICH
42;F;EAK;GASPERICH
32;F;BR;BONNEVOIE-SUD
55;F;L;BONNEVOIE-SUD
51;F;I;KIRCHBERG
73;F;L;HOLLERICH
84;M;SYR;NEUDORF/WEIMERSHOF
45;M;L;BONNEVOIE-NORD/VERLORENKOST
37;M;L;VILLE-HAUTE
26;M;I;GARE
3;M;MEX;BELAIR
33;F;P;MUEHLENBACH
30;F;I;BELAIR
11;F;D, RI;GASPERICH
48;F;R;GARE
35;F;B;DOMMELDANGE
38;M;L, BR;BONNEVOIE-NORD/VERLORENKOST
1;F;L;CENTS
34;F;AZE;GASPERICH
31;F;F;BONNEVOIE-SUD
34;M;AZE;BEGGEN
48;M;L, F;BELAIR
55;F;L;BELAIR
1;F;F;BELAIR
38;M;MS;GASPERICH
28;F;PL;BONNEVOIE-SUD
29;F;IRQ;GARE
53;F;L, GR;CENTS
41;M;BR;ROLLINGERGRUND/BELAIR-NORD
58;M;NL;BONNEVOIE-SUD
21;M;P;HOLLERICH
29;M;PL;CESSANGE
29;F;R;NEUDORF/WEIMERSHOF
9;F;B;CENTS
42;F;F;GARE
28;M;F;GARE
44;M;P;CENTS
44;F;H;GASPERICH
31;M;F;BELAIR
33;M;I;GASPERICH
55;M;D;VILLE-HAUTE
31;F;TJ;BONNEVOIE-SUD
3;M;F, I;LIMPERTSBERG
50;M;L;VILLE-HAUTE
31;F;L, B;GASPERICH
33;M;VN;PFAFFENTHAL
28;F;F;GARE
2;M;R;CENTS
14;M;L, F;ROLLINGERGRUND/BELAIR-NORD
29;F;R;NEUDORF/WEIMERSHOF
29;M;F;GARE
83;F;P;BONNEVOIE-SUD
27;M;D, F;BELAIR
26;F;D;NEUDORF/WEIMERSHOF
41;F;LTU;LIMPERTSBERG
30;F;IND;HOLLERICH
56;F;E;HOLLERICH
33;M;F;LIMPERTSBERG
24;F;B;MUEHLENBACH
57;F;L;BELAIR
60;F;IRL;KIRCHBERG
45;M;P;NEUDORF/WEIMERSHOF
36;M;UZB;EICH
68;M;L;HOLLERICH
46;M;P;EICH
24;M;I;BELAIR
36;F;I;HOLLERICH
39;F;LTU;LIMPERTSBERG
37;F;L;BELAIR
43;M;L;GASPERICH
53;M;L;BELAIR
35;F;L;LIMPERTSBERG
39;F;RUS;BELAIR
28;M;F;BONNEVOIE-SUD
58;F;D;ROLLINGERGRUND/BELAIR-NORD
76;F;B;MERL
29;M;L;MERL
74;M;L;HOLLERICH
1;M;L, BR;CESSANGE
45;M;P;HOLLERICH
47;M;AUS;LIMPERTSBERG
34;F;L, F;BONNEVOIE-SUD
31;F;ET;MERL
1;F;L, I, PL;WEIMERSKIRCH
47;M;BR;BEGGEN
56;F;F;BONNEVOIE-NORD/VERLORENKOST
53;F;I;LIMPERTSBERG
33;M;PL;BONNEVOIE-SUD
26;F;I;KIRCHBERG
41;M;F;BONNEVOIE-NORD/VERLORENKOST
40;F;BR;BONNEVOIE-NORD/VERLORENKOST
40;M;L, F;DOMMELDANGE
30;M;F, PL;GASPERICH
6;F;PL;MUEHLENBACH
30;M;PL;GASPERICH
12;F;D;MERL
27;F;F;ROLLINGERGRUND/BELAIR-NORD
9;F;F;EICH
36;F;LTU;VILLE-HAUTE
49;F;NL;LIMPERTSBERG
33;M;P;NEUDORF/WEIMERSHOF
3;M;P;BONNEVOIE-SUD
27;F;ARM;GASPERICH
57;M;F;MERL
48;F;P;NEUDORF/WEIMERSHOF
1;M;L;NEUDORF/WEIMERSHOF
48;M;P;GARE
35;M;L;NEUDORF/WEIMERSHOF
70;M;L;BEGGEN
25;F;F;BELAIR
23;M;F;HOLLERICH
28;F;F;MERL
29;M;I;EICH
14;M;L, B;BEGGEN
24;M;L;EICH
30;M;P;BONNEVOIE-SUD
41;F;PL;NEUDORF/WEIMERSHOF
4;M;KAZ;GASPERICH
28;M;BR;GARE
36;F;F;KIRCHBERG
27;F;B;BONNEVOIE-NORD/VERLORENKOST
43;M;D;MUEHLENBACH
57;F;H;BELAIR
44;F;PA;GASPERICH
30;F;TJ;LIMPERTSBERG
33;F;TR;LIMPERTSBERG
32;M;F;ROLLINGERGRUND/BELAIR-NORD
30;F;RMM;CLAUSEN
26;M;USA;BELAIR
14;M;L, IR;BONNEVOIE-SUD
30;F;B;BELAIR
29;M;I;GARE
36;M;F;BELAIR
30;M;F;ROLLINGERGRUND/BELAIR-NORD
27;M;F;ROLLINGERGRUND/BELAIR-NORD
34;F;I;GARE
54;F;F, USA;LIMPERTSBERG
28;F;F;BEGGEN
1;F;IRL, GB;CENTS
25;M;ERY;LIMPERTSBERG
24;M;F;BONNEVOIE-SUD
22;M;P;GARE
1;M;L;KIRCHBERG
55;M;L;BELAIR
29;M;PL;BONNEVOIE-SUD
2;F;BG;NEUDORF/WEIMERSHOF
1;M;L;BONNEVOIE-SUD
35;M;IND;MERL
34;M;TR;BELAIR
45;F;F;BEGGEN
38;M;F;BONNEVOIE-SUD
39;M;IND;ROLLINGERGRUND/BELAIR-NORD
15;F;L, F;GARE
6;F;L, PL;NEUDORF/WEIMERSHOF
33;M;P;MERL
37;F;R;KIRCHBERG
39;M;F;GARE
32;F;I;BEGGEN
43;F;F, I;GASPERICH
27;M;I;BONNEVOIE-SUD
39;F;MA;NEUDORF/WEIMERSHOF
25;M;E;CESSANGE
1;M;F, R;PFAFFENTHAL
26;F;I;GASPERICH
2;F;L, XXK;KIRCHBERG
54;M;D;BONNEVOIE-SUD
44;M;ETH;KIRCHBERG
44;M;L, F;HOLLERICH
50;F;I;BELAIR
33;M;I;MUEHLENBACH
33;F;F;BELAIR
66;M;P;BEGGEN
9;M;L, P;HOLLERICH
23;M;F;GARE
90;F;L;PFAFFENTHAL
58;M;L;BELAIR
67;F;UKR;CENTS
28;M;R;GARE
48;F;F;GASPERICH
26;F;I;CENTS
28;M;L;BONNEVOIE-SUD
53;M;L;BONNEVOIE-NORD/VERLORENKOST
88;M;L;VILLE-HAUTE
32;F;B;BONNEVOIE-SUD
50;F;L, E;VILLE-HAUTE
26;M;F;GARE
29;M;F;NEUDORF/WEIMERSHOF
47;F;I;CENTS
33;M;F;CESSANGE
32;F;I;GARE
32;F;F;GARE
36;M;F;GASPERICH
27;M;SK;CENTS
72;F;L;MERL
19;F;UKR;KIRCHBERG
19;M;L, I, B;LIMPERTSBERG
1;M;S, BIH;BELAIR
42;M;MEX;KIRCHBERG
31;F;PL;GARE
44;M;P;BONNEVOIE-NORD/VERLORENKOST
22;F;L, PL, F;KIRCHBERG
30;F;MAL;WEIMERSKIRCH
47;M;USA;HOLLERICH
35;F;MON;HOLLERICH
72;F;L;DOMMELDANGE
2;M;TJ;LIMPERTSBERG
35;F;IND;CLAUSEN
20;M;L, P;EICH
31;M;IND;NEUDORF/WEIMERSHOF
1;M;F;MUEHLENBACH
34;F;GR;GARE
30;M;I;HOLLERICH
18;F;D;ROLLINGERGRUND/BELAIR-NORD
29;M;SUD;CENTS
68;M;F;MUEHLENBACH
69;M;IRL;MERL
29;F;TJ;BELAIR
41;M;P;BONNEVOIE-SUD
31;F;BR;HOLLERICH
29;M;USA;BELAIR
18;F;L;GASPERICH
31;M;F;VILLE-HAUTE
32;F;IND;BONNEVOIE-SUD
6;F;L, F;HOLLERICH
48;F;L, RUS;BELAIR
46;F;SK;KIRCHBERG
29;M;I;KIRCHBERG
0;F;I;HOLLERICH
30;M;MNE;GARE
55;M;L, I;BELAIR
44;F;HKJ;BELAIR
14;M;I;GARE
52;M;R;GARE
36;M;L, F;HOLLERICH
24;F;F;BELAIR
31;M;ZA;MERL
70;M;P;LIMPERTSBERG
27;F;GR;GASPERICH
5;F;GB;CESSANGE
35;M;HRV;EICH
49;M;RUS;LIMPERTSBERG
42;M;I;KIRCHBERG
31;F;MA;HOLLERICH
20;F;L, P;BEGGEN
75;M;A, F;VILLE-HAUTE
27;F;F;BELAIR
34;M;RUS;BONNEVOIE-SUD
46;M;B;MERL
41;M;I;HOLLERICH
24;F;F;HOLLERICH
62;M;L;DOMMELDANGE
23;F;SYR;BONNEVOIE-NORD/VERLORENKOST
33;M;L;BONNEVOIE-NORD/VERLORENKOST
39;M;L, I;HOLLERICH
40;M;IL;GARE
28;F;MS;CESSANGE
51;M;GR;BELAIR
39;F;E;LIMPERTSBERG
25;M;R;ROLLINGERGRUND/BELAIR-NORD
15;M;D, F;CLAUSEN
29;F;PL;NEUDORF/WEIMERSHOF
39;F;I;LIMPERTSBERG
38;M;R;DOMMELDANGE
30;F;LTU;CESSANGE
35;F;AZE;LIMPERTSBERG
27;F;AL;GASPERICH
42;M;L;VILLE-HAUTE
4;F;I;CESSANGE
23;M;P;GARE
26;M;I;BONNEVOIE-NORD/VERLORENKOST
31;M;I;GARE
30;F;E;CLAUSEN
23;M;F;GARE
25;F;F;GARE
61;F;L;BONNEVOIE-SUD
28;F;B;BELAIR
36;M;L, TR;LIMPERTSBERG
61;F;L, B;HOLLERICH
22;F;L, TG;KIRCHBERG
27;F;P;PFAFFENTHAL
22;M;KAZ;HOLLERICH
19;M;L, P;WEIMERSKIRCH
29;M;L;EICH
25;F;F;GARE
33;F;UKR;CESSANGE
28;F;F;HOLLERICH
25;F;F;CESSANGE
18;F;P, BR;CENTS
55;M;F;VILLE-HAUTE
24;F;F;BELAIR
46;M;P;BONNEVOIE-NORD/VERLORENKOST
43;M;I;BONNEVOIE-SUD
27;F;I;GARE
35;M;TN;HAMM
31;F;TR;GASPERICH
7;M;HRV;KIRCHBERG
4;F;HRV;KIRCHBERG
29;F;RA;BONNEVOIE-SUD
72;F;L;ROLLINGERGRUND/BELAIR-NORD
2;F;HRV;KIRCHBERG
56;M;I;BONNEVOIE-SUD
32;F;PL;LIMPERTSBERG
30;M;GR;ROLLINGERGRUND/BELAIR-NORD
17;M;GB;LIMPERTSBERG
61;M;L;GARE
31;F;R;CESSANGE
1;F;CY, GR;KIRCHBERG
28;F;E;HOLLERICH
26;M;F;NEUDORF/WEIMERSHOF
7;F;P;BELAIR
30;F;R;BEGGEN
37;M;L, F, NL;CESSANGE
28;F;TN;GARE
50;F;P;PULVERMUEHL
39;F;BIH;HOLLERICH
35;M;I;CENTS
33;M;RUS;GASPERICH
34;M;F;BELAIR
23;F;L;ROLLINGERGRUND/BELAIR-NORD
29;M;P;GASPERICH
67;M;L;DOMMELDANGE
32;M;IND;GASPERICH
40;F;CZ;BELAIR
27;F;TJ;GARE
25;F;L, BR;HOLLERICH
52;F;UKR;ROLLINGERGRUND/BELAIR-NORD
30;F;P;PFAFFENTHAL
42;M;P;GASPERICH
90;F;L;GARE
38;M;WAN;HOLLERICH
24;F;L;GARE
44;M;F;LIMPERTSBERG
31;M;P;GARE
62;M;L, XXK;MERL
45;M;HRV;CLAUSEN
84;M;B;VILLE-HAUTE
30;M;NL;GARE
32;M;TC;BONNEVOIE-SUD
57;F;D;VILLE-HAUTE
25;M;I;EICH
25;M;B;CESSANGE
25;F;RM;WEIMERSKIRCH
17;M;L, I;HOLLERICH
22;M;L;BELAIR
16;F;L, MK;BONNEVOIE-SUD
29;M;E;HOLLERICH
1;M;USA;MERL
54;F;I;BELAIR
18;F;ERY;MUEHLENBACH
53;F;F;CENTS
4;F;D, F;BELAIR
57;F;UKR;CESSANGE
0;F;I;LIMPERTSBERG
5;F;EST, I;GASPERICH
53;M;L;GARE
27;F;F;GASPERICH
34;F;T;BONNEVOIE-SUD
44;M;D;CLAUSEN
28;F;PL;GARE
37;M;F;BONNEVOIE-SUD
23;F;L;BELAIR
12;F;P;GARE
36;M;IR;LIMPERTSBERG
57;F;L, KAZ;CENTS
51;F;L, E;KIRCHBERG
14;F;L, P;BEGGEN
14;M;L, LVA;ROLLINGERGRUND/BELAIR-NORD
27;M;P;ROLLINGERGRUND/BELAIR-NORD
27;F;E;BELAIR
44;M;D;CENTS
25;M;F;CENTS
25;M;I;ROLLINGERGRUND/BELAIR-NORD
26;M;MS;GASPERICH
29;M;F;NEUDORF/WEIMERSHOF
38;M;DK;HOLLERICH
32;F;E;ROLLINGERGRUND/BELAIR-NORD
27;M;GB;ROLLINGERGRUND/BELAIR-NORD
31;F;F;LIMPERTSBERG
58;F;UKR;BELAIR
79;F;L;GARE
26;M;TJ;PULVERMUEHL
32;M;TJ;HOLLERICH
35;M;RUS;MERL
49;M;D;BELAIR
0;F;I, F;CESSANGE
49;F;UKR;HOLLERICH
79;F;L;KIRCHBERG
41;M;L;DOMMELDANGE
5;F;F;NEUDORF/WEIMERSHOF
41;M;IND;GARE
49;F;L;CENTS
77;F;L;CENTS
1;F;F;BELAIR
36;M;I;LIMPERTSBERG
12;M;ERY;MUEHLENBACH
9;F;ERY;MUEHLENBACH
31;M;MS;GARE
1;M;UKR;BELAIR
45;M;PL;BELAIR
76;F;L;ROLLINGERGRUND/BELAIR-NORD
45;F;TJ;CENTS
25;F;F;CESSANGE
30;M;P, GUB;GARE
16;M;SYR;LIMPERTSBERG
42;M;BR;WEIMERSKIRCH
40;M;I;CENTS
4;F;LVA, GB;HOLLERICH
14;F;PL;BELAIR
58;F;F;LIMPERTSBERG
25;M;L, E;NEUDORF/WEIMERSHOF
33;F;UKR;HAMM
38;F;L, IRQ;HOLLERICH
9;M;E;BONNEVOIE-SUD
31;F;IND;ROLLINGERGRUND/BELAIR-NORD
12;F;FIN, S;CESSANGE
79;F;L;BELAIR
35;F;J;CESSANGE
1;F;I, BR;BONNEVOIE-SUD
41;M;L;MERL
26;M;BIH;CESSANGE
91;M;L;HAMM
11;F;CY;GASPERICH
41;M;F;MERL
56;F;BLR;HOLLERICH
37;M;TJ;LIMPERTSBERG
35;M;IND;GARE
10;M;NL, B;NEUDORF/WEIMERSHOF
5;M;F;CESSANGE
32;F;MEX;MERL
37;F;PHL;BELAIR
47;M;L, P;HOLLERICH
33;M;F;MERL
40;M;F;WEIMERSKIRCH
36;M;YMN;GASPERICH
27;M;I;BELAIR
38;M;F;ROLLINGERGRUND/BELAIR-NORD
33;M;BG;ROLLINGERGRUND/BELAIR-NORD
27;M;IR;GARE
38;M;B;NEUDORF/WEIMERSHOF
60;F;L, CV;MERL
75;F;L;BELAIR
26;M;F;LIMPERTSBERG
48;F;R;BELAIR
16;M;L, S;ROLLINGERGRUND/BELAIR-NORD
33;F;UKR;VILLE-HAUTE
12;F;L, F, H;BELAIR
34;F;BG;GARE
41;F;F;ROLLINGERGRUND/BELAIR-NORD
40;F;GR;BEGGEN
55;F;L;WEIMERSKIRCH
46;M;F;BEGGEN
51;F;L;VILLE-HAUTE
3;M;P;BELAIR
43;M;I;CENTS
25;M;E;GARE
1;F;MA;HOLLERICH
29;M;I;LIMPERTSBERG
45;F;F;GARE
22;M;RL;BONNEVOIE-SUD
1;F;L, PL;BEGGEN
74;M;L;BEGGEN
26;M;L, D, GR;BELAIR
53;M;D;MERL
37;F;F;LIMPERTSBERG
39;M;L;GASPERICH
66;F;B;GARE
20;M;GB;KIRCHBERG
0;F;L;BONNEVOIE-NORD/VERLORENKOST
16;F;L;CENTS
29;F;E;BELAIR
38;F;F;BONNEVOIE-SUD
37;F;F;BEGGEN
28;M;M;KIRCHBERG
1;F;J;MERL
8;F;S;MERL
57;F;L, F;LIMPERTSBERG
12;F;I;MUEHLENBACH
32;M;RL;BELAIR
25;M;I;NEUDORF/WEIMERSHOF
39;M;CV;GARE
34;M;MS;GARE
24;M;I;KIRCHBERG
1;F;RL;BELAIR
38;F;TC;BELAIR
30;F;L;MUEHLENBACH
37;M;H;KIRCHBERG
36;F;UKR;HOLLERICH
38;M;E;BELAIR
35;F;SN;ROLLINGERGRUND/BELAIR-NORD
29;M;I;NEUDORF/WEIMERSHOF
33;F;R;GARE
4;M;GB;BEGGEN
47;M;F;GARE
33;F;F;GARE
31;F;L, TJ;BONNEVOIE-SUD
61;M;D;BEGGEN
18;F;L, P;BONNEVOIE-SUD
61;F;L;MERL
32;F;MS;GASPERICH
31;M;L, RUS;MUEHLENBACH
5;F;L, F;GASPERICH
9;F;F;DOMMELDANGE
26;M;GR;LIMPERTSBERG
53;M;NL;BELAIR
0;F;IND;NEUDORF/WEIMERSHOF
78;F;L;BONNEVOIE-SUD
49;F;H;KIRCHBERG
28;M;TR;LIMPERTSBERG
85;F;L;CENTS
68;M;L;HOLLERICH
31;M;NEP;NEUDORF/WEIMERSHOF
4;F;IND;HOLLERICH
65;F;L;BONNEVOIE-SUD
3;F;D;EICH
0;F;PHL;BONNEVOIE-NORD/VERLORENKOST
45;M;IND;BELAIR
8;M;L, P;KIRCHBERG
33;M;IND;BELAIR
15;F;L, I, F, GB;GARE
25;M;SYR;LIMPERTSBERG
34;M;L, P;WEIMERSKIRCH
6;F;GU;HOLLERICH
1;M;RUS;BEGGEN
43;M;TR;GASPERICH
24;F;F;GASPERICH
0;F;L, XXK;EICH
53;M;L;BONNEVOIE-SUD
25;F;UKR;HOLLERICH
23;F;E;BONNEVOIE-SUD
46;F;A;KIRCHBERG
1;M;I;BELAIR
25;F;L, GB;BELAIR
7;F;L;HAMM
56;F;F;BONNEVOIE-SUD
42;F;GR;BONNEVOIE-NORD/VERLORENKOST
31;M;GB;HOLLERICH
6;M;F;EICH
2;M;L, MA;ROLLINGERGRUND/BELAIR-NORD
72;F;UKR;KIRCHBERG
40;F;SYR;LIMPERTSBERG
23;M;E;BONNEVOIE-NORD/VERLORENKOST
35;M;E;HOLLERICH
36;F;IND;CENTS
37;F;IND;CENTS
32;F;L;MUEHLENBACH
42;F;L;CENTS
61;F;R;BELAIR
25;F;F;NEUDORF/WEIMERSHOF
24;F;D;NEUDORF/WEIMERSHOF
11;F;L;LIMPERTSBERG
39;M;E;GASPERICH
19;F;L;CESSANGE
20;M;RUS;MERL
43;M;D;BELAIR
45;F;F;GASPERICH
29;F;GB;HOLLERICH
52;F;L;CESSANGE
24;F;R;PFAFFENTHAL
31;M;SYR;BELAIR
28;M;D, F;BELAIR
18;F;L, P;EICH
50;M;L, GR;HOLLERICH
15;F;GB;BONNEVOIE-SUD
39;F;GB;GRUND
35;M;IND;ROLLINGERGRUND/BELAIR-NORD
36;F;IND;ROLLINGERGRUND/BELAIR-NORD
68;F;L, CO;MUEHLENBACH
43;M;F;GARE
57;M;L, GB;MUEHLENBACH
5;M;F;BELAIR
58;F;L;EICH
29;F;F;BONNEVOIE-SUD
2;F;MA;BONNEVOIE-SUD
1;F;F, LTU;MERL
44;F;L, PL;BEGGEN
25;F;E;GARE
29;M;BG;GRUND
24;F;F;EICH
22;M;E;MERL
40;F;F;EICH
56;M;TJ;DOMMELDANGE
32;M;I, UKR;NEUDORF/WEIMERSHOF
8;F;F;HOLLERICH
17;M;ERY;BELAIR
26;F;YV;BELAIR
32;M;MA;NEUDORF/WEIMERSHOF
29;F;IND;ROLLINGERGRUND/BELAIR-NORD
23;M;F;GARE
52;F;L;EICH
43;M;GB;NEUDORF/WEIMERSHOF
72;F;LTU;KIRCHBERG
